20 20
252 1
10 5
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 
0 3 0 3 3 3 0 3 3 3 0 3 0 3 3 3 0 3 0 3 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 
0 3 3 3 0 3 0 3 0 3 3 3 0 3 0 3 3 3 0 3 
0 0 0 0 0 0 0 3 0 0 0 0 2 0 0 0 0 0 0 3 
0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 
0 0 0 0 0 3 0 0 0 0 0 0 0 3 0 0 0 3 0 3 
0 3 0 3 0 3 0 3 3 3 0 3 0 3 0 3 3 3 0 3 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 
0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 
0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 3 
0 3 0 3 0 3 0 3 3 3 0 3 0 3 0 3 3 3 3 3 
0 3 0 0 0 3 0 3 0 0 0 0 0 0 0 0 0 0 0 3 
0 3 0 3 0 3 0 3 0 3 3 3 0 3 0 3 0 3 0 3 
0 0 0 3 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 3 
0 3 0 3 0 3 0 3 0 3 0 3 3 3 0 3 0 3 0 3 
0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 3 0 3 
0 3 0 3 0 3 3 3 0 3 3 3 0 3 0 3 0 3 0 3 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 
